Line,Month,Day,Protest,March/Demonstration,Strike,Occupation,Blockade,Hunger Strike,Location,Number,Police,Violence,Damage,Organization
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,1,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,1,1,1,,,,,"San José, San José",3000~,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,1,1,,1,,,,,16+,,,,"Comisión Nacional de Enlace (CNE), Movimiento Cívico Nacional (MCN)"
12,,,,,,,,,,,,,,
13,,1,1,1,,,,,"Golfito, Puntarenas",,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,1,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,,1,1,1,,,,,"San José, San José",100+,,,,
19,,,,,,,,,,,,,,
20,,1,1,,,1,,,"San Pedro Montes de Oca, San José",,,,,
21,,,,,,,,,,,,,,
22,,1,1,,1,,,,Provincia de Guanacaste,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,1,1,,1,,,,,,,,,Trabajadores del Instituto Costarricense de Acueductos y Alcantarillados (AyA)
27,,,,,,,,,,,,,,
28,,1,1,,1,,,,Provincia de Guanacaste,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,
33,,1,1,1,,,,,"San José, San José",100+,,,,
34,,,,,,,,,,,,,,
35,1,,,,,,,,,,,,,
36,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,
41,,1,1,,1,,,,"Tibás, San José",,,,,
42,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,
47,,1,1,,,,1,,"San Pedro Montes de Oca, San José",,,,,
48,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,
55,1,,,,,,,,,,,,,
56,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,
59,,1,1,,1,,,,"San José, San José",,,,,
60,,,,,,,,,,,,,,
61,,1,1,,1,,,,"Tibás, San José",67,,,,
62,,,,,,,,,,,,,,
63,,1,1,,1,,,,Provincia de Alajuela,,,,,Trabajadores de la Cooperativa de Electrificación Rural de San Carlos (COOPELESCA)
64,,,,,,,,,,,,,,
65,,1,1,,,,,1,"Tibás, San José",67,,,,
66,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,
